Descripció,Preu unitari,Preu/kg,URL,Imatge
Berenjena Carrefour a granel 1 kg aprox,"1,89 €","1,89 €/kg",https://www.carrefour.es/supermercado/berenjena-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-394518/p,https://static.carrefour.es/hd_350x_/img_pim_food/394518_00_1.jpg
Baguette 2 ud,"0,96 €","1,92 €/kg",https://www.carrefour.es/supermercado/baguette-2-ud/R-584501495/p,https://static.carrefour.es/hd_350x_/img_pim_food/126922_00_1.jpg
Queso mozzarella Italiana Carrefour 125 g.,"0,95 €","7,60 €/kg",https://www.carrefour.es/supermercado/queso-mozzarella-italiana-carrefour-125-g/R-521030590/p,https://static.carrefour.es/hd_350x_/img_pim_food/510743_00_1.jpg
Brócoli Carrefour 500 g,"1,19 €","2,38 €/kg",https://www.carrefour.es/supermercado/brocoli-carrefour-500-g/R-prod1000504/p,https://static.carrefour.es/hd_350x_/img_pim_food/078932_00_1.jpg
Berlina glace Donuts 4 ud.,"2,85 €","13,70 €/kg",https://www.carrefour.es/supermercado/berlina-glace-donuts-4-ud/R-715505820/p,https://static.carrefour.es/hd_350x_/img_pim_food/488502_00_1.jpg
Bollito recubierto de chocolate clasicos Donettes 8 ud.,"2,75 €","18,09 €/kg",https://www.carrefour.es/supermercado/bollito-recubierto-de-chocolate-clasicos-donettes-8-ud/R-VC4AECOMM-682477/p,https://static.carrefour.es/hd_350x_/img_pim_food/682477_00_1.jpg
Zanahoria Círculo de Calidad 500 g aprox,"0,89 €","1,78 €/kg",https://www.carrefour.es/supermercado/zanahoria-circulo-de-calidad-500-g-aprox/R-fprod1420336/p,https://static.carrefour.es/hd_350x_/img_pim_food/369458_00_1.jpg
Patata lavada para todo uso Carrefour El Mercado 5 kg,"6,95 €","1,39 €/kg",https://www.carrefour.es/supermercado/patata-lavada-para-todo-uso-carrefour-el-mercado-5-kg/R-525888361/p,https://static.carrefour.es/hd_350x_/img_pim_food/793632_00_1.jpg
Queso de untar clásico Carrefour Classic 300 g.,"1,50 €",5 €/kg,https://www.carrefour.es/supermercado/queso-de-untar-clasico-carrefour-classic-300-g/R-804713848/p,https://static.carrefour.es/hd_350x_/img_pim_food/918951_00_1.jpg
Barra rústica 1 ud.,"0,71 €","2,84 €/kg",https://www.carrefour.es/supermercado/barra-rustica-1-ud/R-VC4AECOMM-423920/p,https://static.carrefour.es/hd_350x_/img_pim_food/423920_00_1.jpg
Pan de leche Carrefour Classic 350 g.,"1,28 €","3,66 €/kg",https://www.carrefour.es/supermercado/pan-de-leche-carrefour-classic-350-g/R-prod550021/p,https://static.carrefour.es/hd_350x_/img_pim_food/835359_00_1.jpg
Manzana golden Círculo de Calidad a granel 1 Kg aprox,"1,85 €","1,85 €/kg",https://www.carrefour.es/supermercado/manzana-golden-circulo-de-calidad-a-granel-1-kg-aprox/R-532601637/p,https://static.carrefour.es/hd_350x_/img_pim_food/261962_00_1.jpg
Limón Carrefour a granel 1kg aprox,"2,29 €","2,29 €/kg",https://www.carrefour.es/supermercado/limon-carrefour-a-granel-1kg-aprox/R-VC4AECOMM-100139/p,https://static.carrefour.es/hd_350x_/img_pim_food/100139_00_1.jpg
Arándanos Carrefour El Mercado 225 g,"4,15 €","18,44 €/kg",https://www.carrefour.es/supermercado/arandanos-carrefour-el-mercado-225-g/R-VC4AECOMM-457359/p,https://static.carrefour.es/hd_350x_/img_pim_food/457359_00_1.jpg
Pan Pannier plus mediana 300 g,"1,25 €","3,79 €/kg",https://www.carrefour.es/supermercado/pan-pannier-plus-mediana-300-g/R-prod760139/p,https://static.carrefour.es/hd_350x_/img_pim_food/859573_00_1.jpg
Borek de queso 100 g,"1,05 €","10,50 €/kg",https://www.carrefour.es/supermercado/borek-de-queso-100-g/R-fprod1460425/p,https://static.carrefour.es/hd_350x_/img_pim_food/399646_00_1.jpg
Mandarina para zumo Carrefour malla de 2 kg,,"1,39 €/kg",https://www.carrefour.es/supermercado/mandarina-para-zumo-carrefour-malla-de-2-kg/R-VC4AECOMM-531345/p,https://static.carrefour.es/hd_350x_/img_pim_food/531345_00_1.jpg
Ajo Círculo de Calidad 250 g,"2,05 €","8,20 €/kg",https://www.carrefour.es/supermercado/ajo-circulo-de-calidad-250-g/R-521031667/p,https://static.carrefour.es/hd_350x_/img_pim_food/496386_00_1.jpg
Cebolla granel Carrefour 1 kg aprox,"2,59 €","2,59 €/kg",https://www.carrefour.es/supermercado/cebolla-granel-carrefour-1-kg-aprox/R-VC4AECOMM-645285/p,https://static.carrefour.es/hd_350x_/img_pim_food/645285_00_1.jpg
Ensalada cuatro estaciones Carrefour 250 g,"0,76 €","3,04 €/kg",https://www.carrefour.es/supermercado/ensalada-cuatro-estaciones-carrefour-250-g/R-521032376/p,https://static.carrefour.es/hd_350x_/img_pim_food/261721_00_1.jpg
Kiwi Zespri 1 kg aprox,"4,95 €","4,95 €/kg",https://www.carrefour.es/supermercado/kiwi-zespri-1-kg-aprox/R-719618129/p,https://static.carrefour.es/hd_350x_/img_pim_food/243817_00_1.jpg
Pera conferencia Carrefour 1 kg aprox,"2,59 €","2,59 €/kg",https://www.carrefour.es/supermercado/pera-conferencia-carrefour-1-kg-aprox/R-600709236/p,https://static.carrefour.es/hd_350x_/img_pim_food/394510_00_1.jpg
Cogollos Carrefour 400 g,"0,99 €","2,47 €/kg",https://www.carrefour.es/supermercado/cogollos-carrefour-400-g/R-VC4AECOMM-235347/p,https://static.carrefour.es/hd_350x_/img_pim_food/235347_00_1.jpg
Mango Carrefour a granel 1 kg aprox,"4,75 €","4,75 €/kg",https://www.carrefour.es/supermercado/mango-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-430552/p,https://static.carrefour.es/hd_350x_/img_pim_food/430552_00_1.jpg
Panecillo 6 Semillas 1 ud.,"0,31 €","3,44 €/kg",https://www.carrefour.es/supermercado/panecillo-6-semillas-1-ud/R-VC4AECOMM-651739/p,https://static.carrefour.es/hd_350x_/img_pim_food/651739_00_1.jpg
Pan de Pueblo sin aditivos 1 ud.,"1,66 €","2,07 €/kg",https://www.carrefour.es/supermercado/pan-de-pueblo-sin-aditivos-1-ud/R-VC4AECOMM-433734/p,https://static.carrefour.es/hd_350x_/img_pim_food/433734_00_1.jpg
Barra con Cereales Tradicional 1 ud.,"1,03 €","3,81 €/kg",https://www.carrefour.es/supermercado/barra-con-cereales-tradicional-1-ud/R-prod231490/p,https://static.carrefour.es/hd_350x_/img_pim_food/284409_00_1.jpg
Espetec Casa Tarradellas sin gluten pack de 2 unidades de 360 g.,"5,19 €","14,42 €/kg",https://www.carrefour.es/supermercado/espetec-casa-tarradellas-sin-gluten-pack-de-2-unidades-de-360-g/R-VC4AECOMM-698150/p,https://static.carrefour.es/hd_350x_/img_pim_food/698150_00_1.jpg
Cebolla Carrefour 2 kg,"3,90 €","1,95 €/kg",https://www.carrefour.es/supermercado/cebolla-carrefour-2-kg/R-VC4AECOMM-645281/p,https://static.carrefour.es/hd_350x_/img_pim_food/645281_00_1.jpg
Espetec Casa Tarradellas sin gluten 185 g.,"2,59 €","14,39 €/kg",https://www.carrefour.es/supermercado/espetec-casa-tarradellas-sin-gluten-185-g/R-VC4AECOMM-698147/p,https://static.carrefour.es/hd_350x_/img_pim_food/698147_00_1.jpg
Aguacate hass 1 Kg aprox,"5,69 €","5,69 €/kg",https://www.carrefour.es/supermercado/aguacate-hass-1-kg-aprox/R-547901607/p,https://static.carrefour.es/hd_350x_/img_pim_food/036010_00_1.jpg
Mini Fuet Snack'in Campofrío 50 g,"1,65 €",33 €/kg,https://www.carrefour.es/supermercado/mini-fuet-snackin-campofrio-50-g/R-prod841697/p,https://static.carrefour.es/hd_350x_/img_pim_food/699033_00_1.jpg
Champiñon pie cortado Carrefour 200 g aprox,"1,01 €","5,07 €/kg",https://www.carrefour.es/supermercado/champinon-pie-cortado-carrefour-200-g-aprox/R-fprod1220162/p,https://static.carrefour.es/hd_350x_/img_pim_food/271593_00_1.jpg
Espinaca troceada Carrefour El Mercado 300 g,"1,19 €","3,97 €/kg",https://www.carrefour.es/supermercado/espinaca-troceada-carrefour-el-mercado-300-g/R-526574300/p,https://static.carrefour.es/hd_350x_/img_pim_food/261718_00_1.jpg
Barra 100% integral 250 g,"0,99 €","3,96 €/kg",https://www.carrefour.es/supermercado/barra-100-integral-250-g/R-VC4AECOMM-550659/p,https://static.carrefour.es/hd_350x_/img_pim_food/550659_00_1.jpg
Manzana fuji Círculo de Calidad a granel 1 kg aprox,,"1,99 €/kg",https://www.carrefour.es/supermercado/manzana-fuji-circulo-de-calidad-a-granel-1-kg-aprox/R-fprod1460462/p,https://static.carrefour.es/hd_350x_/img_pim_food/402115_00_1.jpg
Pan de molde sin corteza Bimbo 450 g.,"2,45 €","5,44 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-sin-corteza-bimbo-450-g/R-521007151/p,https://static.carrefour.es/hd_350x_/img_pim_food/367981_00_1.jpg
"Pechuga de Pollo Entera Carrefour 1,1 kg aprox","6,32 €","5,75 €/kg",https://www.carrefour.es/supermercado/pechuga-de-pollo-entera-carrefour-11-kg-aprox/R-762341814/p,https://static.carrefour.es/hd_350x_/img_pim_food/765479_00_1.jpg
Cesta de jamón y queso Carrefour 100 g,1 €,1 €/ud,https://www.carrefour.es/supermercado/cesta-de-jamon-y-queso-carrefour-100-g/R-fprod1180448/p,https://static.carrefour.es/hd_350x_/img_pim_food/895015_00_1.jpg
Alcachofa Carrefour 1 kg aprox,"3,49 €","3,49 €/kg",https://www.carrefour.es/supermercado/alcachofa-carrefour-1-kg-aprox/R-VC4AECOMM-744605/p,https://static.carrefour.es/hd_350x_/img_pim_food/744605_00_1.jpg
Champiñon laminado Carrefour bandeja de 250 g aprox,"2,68 €","6,69 €/kg",https://www.carrefour.es/supermercado/champinon-laminado-carrefour-bandeja-de-250-g-aprox/R-fprod1220107/p,https://static.carrefour.es/hd_350x_/img_pim_food/271583_00_1.jpg
Rúcula Carrefour El Mercado El Mercado 50 g,"0,81 €","16,20 €/kg",https://www.carrefour.es/supermercado/rucula-carrefour-el-mercado-el-mercado-50-g/R-757834489/p,https://static.carrefour.es/hd_350x_/img_pim_food/766809_00_1.jpg
Salmón ahumado noruego Extra Carrefour 100 g,,"36,90 €/kg",https://www.carrefour.es/supermercado/salmon-ahumado-noruego-extra-carrefour-100-g/R-682701980/p,https://static.carrefour.es/hd_350x_/img_pim_food/069334_00_1.jpg
Trozo de lomo de cerdo Carrefour 1 kg aprox,,"4,85 €/kg",https://www.carrefour.es/supermercado/trozo-de-lomo-de-cerdo-carrefour-1-kg-aprox/R-684403414/p,https://static.carrefour.es/hd_350x_/img_pim_food/073066_00_1.jpg
Chorizo en lonchas Revilla sin gluten 65 g.,"0,99 €","14,14 €/kg",https://www.carrefour.es/supermercado/chorizo-en-lonchas-revilla-sin-gluten-65-g/R-VC4AECOMM-698652/p,https://static.carrefour.es/hd_350x_/img_pim_food/698652_00_1.jpg
Lechuga Iceberg Carrefour El Mercado 250 g,"0,83 €","3,32 €/kg",https://www.carrefour.es/supermercado/lechuga-iceberg-carrefour-el-mercado-250-g/R-VC4AECOMM-478340/p,https://static.carrefour.es/hd_350x_/img_pim_food/478340_00_1.jpg
Barra grande extra Carrefour 1 ud,"1,29 €","3,97 €/kg",https://www.carrefour.es/supermercado/barra-grande-extra-carrefour-1-ud/R-fprod1190377/p,https://static.carrefour.es/hd_350x_/img_pim_food/240795_00_1.jpg
Cebolla roja Carrefour 500 g,"1,45 €","2,90 €/kg",https://www.carrefour.es/supermercado/cebolla-roja-carrefour-500-g/R-521029168/p,https://static.carrefour.es/hd_350x_/img_pim_food/795908_00_1.jpg
Ciabatta Cristal Gouda 1 ud.,"0,43 €","3,91 €/kg",https://www.carrefour.es/supermercado/ciabatta-cristal-gouda-1-ud/R-VC4AECOMM-651650/p,https://static.carrefour.es/hd_350x_/img_pim_food/651650_00_1.jpg
Salchichas Frankfurt Carrefour pack de 4 unidades 170 g.,"1,75 €","2,57 €/kg",https://www.carrefour.es/supermercado/salchichas-frankfurt-carrefour-pack-de-4-unidades-170-g/R-fprod1460360/p,https://static.carrefour.es/hd_350x_/img_pim_food/399385_00_1.jpg
Barra torrijas 300 g,,"4,97 €/kg",https://www.carrefour.es/supermercado/barra-torrijas-300-g/R-prod1050106/p,https://static.carrefour.es/hd_350x_/img_pim_food/348868_00_1.jpg
Masa de hojaldre Carrefour Classic' 230 g.,"1,10 €","4,78 €/kg",https://www.carrefour.es/supermercado/masa-de-hojaldre-carrefour-classic-230-g/R-663201866/p,https://static.carrefour.es/hd_350x_/img_pim_food/314788_00_1.jpg
Panecillo blanco 11 ud.,"1,09 €","0,10 €/ud",https://www.carrefour.es/supermercado/panecillo-blanco-11-ud/R-VC4AECOMM-498741/p,https://static.carrefour.es/hd_350x_/img_pim_food/498741_00_1.jpg
Fiambre de pechuga de pavo en lonchas Campofrío sin gluten y sin lactosa 75 g.,"0,99 €","12,37 €/kg",https://www.carrefour.es/supermercado/fiambre-de-pechuga-de-pavo-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g/R-VC4AECOMM-698818/p,https://static.carrefour.es/hd_350x_/img_pim_food/698818_00_1.jpg
Lima Carrefour 300 g,"0,99 €","3,30 €/kg",https://www.carrefour.es/supermercado/lima-carrefour-300-g/R-VC4AECOMM-485748/p,https://static.carrefour.es/hd_350x_/img_pim_food/485748_00_1.jpg
Queso rallado grana padano DOP Carrefour Extra 100 g.,"1,80 €",18 €/kg,https://www.carrefour.es/supermercado/queso-rallado-grana-padano-dop-carrefour-extra-100-g/R-521030754/p,https://static.carrefour.es/hd_350x_/img_pim_food/557685_00_1.jpg
Coliflor Carrefour 2 kg aprox,"3,50 €","1,75 €/kg",https://www.carrefour.es/supermercado/coliflor-carrefour-2-kg-aprox/R-VC4AECOMM-679710/p,https://static.carrefour.es/hd_350x_/img_pim_food/679710_00_1.jpg
Mango Carrefour en bandeja 2 ud 600 g,,"3,58 €/kg",https://www.carrefour.es/supermercado/mango-carrefour-en-bandeja-2-ud-600-g/R-fprod1430075/p,https://static.carrefour.es/hd_350x_/img_pim_food/371673_00_1.jpg
Jamón cocido en lonchas Campofrío sin gluten y sin lactosa 75 g,"0,99 €","12,37 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g/R-VC4AECOMM-698858/p,https://static.carrefour.es/hd_350x_/img_pim_food/698858_00_1.jpg
"Traseros de Pollo Carrefour 1,5 kg aprox","4,48 €","2,99 €/kg",https://www.carrefour.es/supermercado/traseros-de-pollo-carrefour-15-kg-aprox/R-767508125/p,https://static.carrefour.es/hd_350x_/img_pim_food/765475_00_1.jpg
Naranjas de zumo Carrefour El Mercado 3 kg,"3,65 €","1,22 €/kg",https://www.carrefour.es/supermercado/naranjas-de-zumo-carrefour-el-mercado-3-kg/R-547901667/p,https://static.carrefour.es/hd_350x_/img_pim_food/235308_00_1.jpg
Aguacate Carrefour 500 g aprox,"2,49 €","4,98 €/kg",https://www.carrefour.es/supermercado/aguacate-carrefour-500-g-aprox/R-VC4AECOMM-530083/p,https://static.carrefour.es/hd_350x_/img_pim_food/530083_00_1.jpg
Bacón en cintas Casa Tarradellas sin gluten pack de 2 unidades de 100 g,"2,09 €","10,45 €/kg",https://www.carrefour.es/supermercado/bacon-en-cintas-casa-tarradellas-sin-gluten-pack-de-2-unidades-de-100-g/R-VC4AECOMM-698152/p,https://static.carrefour.es/hd_350x_/img_pim_food/698152_00_1.jpg
Berlinas bombón Donuts 4 ud.,"2,99 €","13,59 €/kg",https://www.carrefour.es/supermercado/berlinas-bombon-donuts-4-ud/R-715505824/p,https://static.carrefour.es/hd_350x_/img_pim_food/488506_00_1.jpg
Traseros de Pollo Carrefour 1 kg aprox,"2,99 €","2,99 €/kg",https://www.carrefour.es/supermercado/traseros-de-pollo-carrefour-1-kg-aprox/R-VC4AECOMM-131626/p,https://static.carrefour.es/hd_350x_/img_pim_food/131626_00_1.jpg
Canónigos Carrefour El Mercado 125 g,"1,09 €","8,72 €/kg",https://www.carrefour.es/supermercado/canonigos-carrefour-el-mercado-125-g/R-521032341/p,https://static.carrefour.es/hd_350x_/img_pim_food/261722_00_1.jpg
Jamón cocido extra Campofrío al corte 150 g aprox,"1,93 €","12,90 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-extra-campofrio-al-corte-150-g-aprox/R-793945569/p,https://static.carrefour.es/hd_350x_/img_pim_food/892550_00_1.jpg
Pan Carrefour 5 ud,"1,19 €","2,97 €/kg",https://www.carrefour.es/supermercado/pan-carrefour-5-ud/R-711411255/p,https://static.carrefour.es/hd_350x_/img_pim_food/427706_00_1.jpg
Queso tierno en lonchas Carrefour 200 g.,"2,05 €","10,25 €/kg",https://www.carrefour.es/supermercado/queso-tierno-en-lonchas-carrefour-200-g/R-521030523/p,https://static.carrefour.es/hd_350x_/img_pim_food/424955_00_1.jpg
Pimiento verde lamuyo  granel 1 Kg aprox,"2,79 €","2,79 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-lamuyo-granel-1-kg-aprox/R-548801612/p,https://static.carrefour.es/hd_350x_/img_pim_food/050236_00_1.jpg
Queso mozzarella en lonchas Carrefour 200 g.,"1,78 €","8,90 €/kg",https://www.carrefour.es/supermercado/queso-mozzarella-en-lonchas-carrefour-200-g/R-521030724/p,https://static.carrefour.es/hd_350x_/img_pim_food/695564_00_1.jpg
Fuet espetec Carrefour El Mercado sin gluten 210 g,"2,79 €","13,29 €/kg",https://www.carrefour.es/supermercado/fuet-espetec-carrefour-el-mercado-sin-gluten-210-g/R-VC4AECOMM-611098/p,https://static.carrefour.es/hd_350x_/img_pim_food/611098_00_1.jpg
Queso burrata Carrefour Extra 125 g.,"1,89 €","15,12 €/kg",https://www.carrefour.es/supermercado/queso-burrata-carrefour-extra-125-g/R-VC4AECOMM-346467/p,https://static.carrefour.es/hd_350x_/img_pim_food/346467_00_1.jpg
Bizcocho rondo de yogur Carrefour El Mercado 700 g,"2,95 €","4,21 €/kg",https://www.carrefour.es/supermercado/bizcocho-rondo-de-yogur-carrefour-el-mercado-700-g/R-VC4AECOMM-342503/p,https://static.carrefour.es/hd_350x_/img_pim_food/342503_00_1.jpg
Uva rosada sin pepitas Carrefour El Mercado bandeja de 500 g,"2,79 €","5,58 €/kg",https://www.carrefour.es/supermercado/uva-rosada-sin-pepitas-carrefour-el-mercado-bandeja-de-500-g/R-fprod1460463/p,https://static.carrefour.es/hd_350x_/img_pim_food/402114_00_1.jpg
Lomo de cerdo adobado extra en filetes Carrefour 500 g aprox,,"6,65 €/kg",https://www.carrefour.es/supermercado/lomo-de-cerdo-adobado-extra-en-filetes-carrefour-500-g-aprox/R-VC4AECOMM-679647/p,https://static.carrefour.es/hd_350x_/img_pim_food/679647_00_1.jpg
Chorizo extra dulce Carrefour sin gluten 280 g.,"2,49 €","8,89 €/kg",https://www.carrefour.es/supermercado/chorizo-extra-dulce-carrefour-sin-gluten-280-g/R-VC4AECOMM-709826/p,https://static.carrefour.es/hd_350x_/img_pim_food/709826_00_1.jpg
Jamón cocido extra en finas lonchas Carrefour El Mercado sin gluten 2x225 g,"3,59 €","7,98 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-extra-en-finas-lonchas-carrefour-el-mercado-sin-gluten-2x225-g/R-VC4AECOMM-050774/p,https://static.carrefour.es/hd_350x_/img_pim_food/050774_00_1.jpg
Queso roquefort D.O.P Extra Carrefour cuña 100 g,"1,90 €",19 €/kg,https://www.carrefour.es/supermercado/queso-roquefort-dop-extra-carrefour-cuna-100-g/R-prod841268/p,https://static.carrefour.es/hd_350x_/img_pim_food/683274_00_1.jpg
Jamón Curado en lonchas XXL Elpozo Selección sin gluten y sin lactosa 225 g,"4,65 €","20,67 €/kg",https://www.carrefour.es/supermercado/jamon-curado-en-lonchas-xxl-elpozo-seleccion-sin-gluten-y-sin-lactosa-225-g/R-VC4AECOMM-711046/p,https://static.carrefour.es/hd_350x_/img_pim_food/711046_00_1.jpg
Bollito recubierto de chocolate blanco rayado Donettes 8 ud.,"2,85 €","16,19 €/kg",https://www.carrefour.es/supermercado/bollito-recubierto-de-chocolate-blanco-rayado-donettes-8-ud/R-VC4AECOMM-682487/p,https://static.carrefour.es/hd_350x_/img_pim_food/682487_00_1.jpg
